addressText,price,href,created,broadband
"117 Manuka Terrace, Twizel, Mackenzie","Enquiries over $799,500",/a/property/residential/sale/canterbury/mackenzie/twizel/listing/4837533520?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.060Z,Wireless
"35 Otuturu Crescent, Ruamahunga, Thames-Coromandel",Price by negotiation,property/residential/sale/waikato/thames-coromandel/ruamahunga/listing/4832924812?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.080Z,None
"569 Paradise Valley Road, Ngongotaha Valley, Rotorua",Price by negotiation,/a/property/residential/sale/bay-of-plenty/rotorua/ngongotaha-valley/listing/4831350108?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.099Z,Wireless
"739 Purakaunui Falls Road, Owaka, Clutha","Asking price $935,000",property/residential/sale/otago/clutha/owaka/listing/4830916333?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.118Z,None
"Lot 2 Tararua Road, Pahiatua, Tararua","Asking price $970,000",/a/property/new-homes/house-land/manawatu-whanganui/tararua/pahiatua/listing/4830708433?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.142Z,None
"3360 State Highway 1, Hunterville, Rangitikei",Price by negotiation,/a/property/residential/sale/manawatu-whanganui/rangitikei/hunterville/listing/4829661888?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.160Z,Wireless
"813 Wortley Road, Inglewood, New Plymouth","Enquiries over $699,000",property/residential/sale/taranaki/new-plymouth/inglewood/listing/4821359856?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.178Z,None
"3028 South Eyre Road, Oxford, Waimakariri","Enquiries over $875,000",/a/property/residential/sale/canterbury/waimakariri/oxford/listing/4821203661?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.198Z,"ADSL, Wireless"
"641 Whitikahu Road, Whitikahu, Waikato",Price by negotiation,property/residential/sale/waikato/waikato/whitikahu/listing/4820927820?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.215Z,None
"17 Chapel Road, Loburn, Waimakariri","Asking price $1,315,000",property/new-homes/house-land/canterbury/waimakariri/loburn/listing/4809283589?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.233Z,None
